Log started on 2/3/2022
17:2:14:Time Elapsed (s):142 of 180
17:2:15:Time Elapsed (s):143 of 180
17:2:16:Time Elapsed (s):144 of 180
17:2:17:Time Elapsed (s):145 of 180
17:2:18:Time Elapsed (s):146 of 180
17:2:19:Time Elapsed (s):147 of 180
17:2:20:Time Elapsed (s):148 of 180
17:2:21:Time Elapsed (s):149 of 180
17:2:22:Time Elapsed (s):150 of 180
17:2:23:Time Elapsed (s):151 of 180
17:2:24:Time Elapsed (s):152 of 180
17:2:25:Time Elapsed (s):153 of 180
17:2:26:Time Elapsed (s):154 of 180
17:2:27:Time Elapsed (s):155 of 180
17:2:28:Time Elapsed (s):156 of 180
17:2:29:Time Elapsed (s):157 of 180
17:2:30:Time Elapsed (s):158 of 180
17:2:31:Time Elapsed (s):159 of 180
17:2:32:Time Elapsed (s):160 of 180
17:2:33:Time Elapsed (s):161 of 180
17:2:34:Time Elapsed (s):162 of 180
17:2:35:Time Elapsed (s):163 of 180
17:2:36:Time Elapsed (s):164 of 180
17:2:37:Time Elapsed (s):165 of 180
17:2:38:Time Elapsed (s):166 of 180
17:2:39:Time Elapsed (s):167 of 180
17:2:40:Time Elapsed (s):168 of 180
17:2:41:Time Elapsed (s):169 of 180
17:2:42:Time Elapsed (s):170 of 180
17:2:43:Time Elapsed (s):171 of 180
17:2:44:Time Elapsed (s):172 of 180
17:2:45:Time Elapsed (s):173 of 180
17:2:46:Time Elapsed (s):174 of 180
17:2:47:Time Elapsed (s):175 of 180
17:2:48:Time Elapsed (s):176 of 180
17:2:49:Time Elapsed (s):177 of 180
17:2:50:Time Elapsed (s):178 of 180
17:2:51:Time Elapsed (s):179 of 180
17:2:52:Time Elapsed (s):180 of 180
17:2:52:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
